variant,sig_rule,weights,w_sig,w_conv,prot_mode,prot_lambda
max|equal|moderator,max,equal,1.0,1.0,moderator,
max|equal|additive,max,equal,1.0,1.0,additive,0.5
max|sig_up|moderator,max,sig_up,1.5,1.0,moderator,
max|sig_up|additive,max,sig_up,1.5,1.0,additive,0.5
max|conv_up|moderator,max,conv_up,1.0,1.5,moderator,
max|conv_up|additive,max,conv_up,1.0,1.5,additive,0.5
mean|equal|moderator,mean,equal,1.0,1.0,moderator,
mean|equal|additive,mean,equal,1.0,1.0,additive,0.5
mean|sig_up|moderator,mean,sig_up,1.5,1.0,moderator,
mean|sig_up|additive,mean,sig_up,1.5,1.0,additive,0.5
mean|conv_up|moderator,mean,conv_up,1.0,1.5,moderator,
mean|conv_up|additive,mean,conv_up,1.0,1.5,additive,0.5
w70_socs|equal|moderator,w70_socs,equal,1.0,1.0,moderator,
w70_socs|equal|additive,w70_socs,equal,1.0,1.0,additive,0.5
w70_socs|sig_up|moderator,w70_socs,sig_up,1.5,1.0,moderator,
w70_socs|sig_up|additive,w70_socs,sig_up,1.5,1.0,additive,0.5
w70_socs|conv_up|moderator,w70_socs,conv_up,1.0,1.5,moderator,
w70_socs|conv_up|additive,w70_socs,conv_up,1.0,1.5,additive,0.5
w70_land|equal|moderator,w70_land,equal,1.0,1.0,moderator,
w70_land|equal|additive,w70_land,equal,1.0,1.0,additive,0.5
w70_land|sig_up|moderator,w70_land,sig_up,1.5,1.0,moderator,
w70_land|sig_up|additive,w70_land,sig_up,1.5,1.0,additive,0.5
w70_land|conv_up|moderator,w70_land,conv_up,1.0,1.5,moderator,
w70_land|conv_up|additive,w70_land,conv_up,1.0,1.5,additive,0.5
pctnorm_mean|equal|moderator,pctnorm_mean,equal,1.0,1.0,moderator,
pctnorm_mean|equal|additive,pctnorm_mean,equal,1.0,1.0,additive,0.5
pctnorm_mean|sig_up|moderator,pctnorm_mean,sig_up,1.5,1.0,moderator,
pctnorm_mean|sig_up|additive,pctnorm_mean,sig_up,1.5,1.0,additive,0.5
pctnorm_mean|conv_up|moderator,pctnorm_mean,conv_up,1.0,1.5,moderator,
pctnorm_mean|conv_up|additive,pctnorm_mean,conv_up,1.0,1.5,additive,0.5
